,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
45,B0FFG7J0H8,海友酒店(上海外滩南京东路店),121.476859,31.241449,黄浦区,[],4.4,住宿服务;宾馆酒店;经济型连锁酒店,31.24566615322151,121.487815893587,13522742.08704613,3664145.7521825917
46,B0FFIBA5X5,海友酒店(上海南京东路地铁站店),121.47920400000001,31.240990999999998,黄浦区,[],3.9,住宿服务;宾馆酒店;经济型连锁酒店,31.245193146828,121.49015354293076,13523003.13125204,3664086.1207882436
47,B00156E3QF,7天酒店(上海外滩南京路步行街店),121.476803,31.241473,黄浦区,[],4.0,住宿服务;宾馆酒店;经济型连锁酒店,31.245690733294595,121.48776000988481,13522735.853154646,3664148.87697979
48,B00156GMFF,如家快捷酒店(上海南京路步行街店),121.47645800000001,31.238390000000003,黄浦区,[],4.4,住宿服务;宾馆酒店;经济型连锁酒店,31.24255363272991,121.48742990199347,13522697.447930323,3663747.477239716
49,B0FFJFOTGJ,全季酒店(上海外滩宁波路店),121.48191200000001,31.241763,黄浦区,[],4.7,住宿服务;宾馆酒店;经济型连锁酒店,31.24597013110589,121.49284711887854,13523304.584433109,3664186.6350086736
50,B0FFFTZ97B,汉庭酒店(上海外滩江西中路店),121.48184099999999,31.239465999999997,黄浦区,[],4.3,住宿服务;宾馆酒店;经济型连锁酒店,31.243632907976828,121.49278635521314,13523296.68074926,3663887.568557222
51,B0FFKNKASS,全季酒店(上海外滩山东中路店),121.47988899999999,31.238015,黄浦区,[],4.6,住宿服务;宾馆酒店;经济型连锁酒店,31.242161319198658,121.49084898008891,13523079.385103231,3663698.65396779
52,B0FFG4PDV4,如家快捷酒店(南京路步行街地铁店),121.477654,31.239879,黄浦区,[],3.9,住宿服务;宾馆酒店;经济型连锁酒店,31.24406616690136,121.4886145639902,13522830.58604131,3663941.3400908145
53,B0FFG909OL,全季酒店(上海外滩天潼路店),121.478399,31.245634999999996,虹口区,[],4.7,住宿服务;宾馆酒店;经济型连锁酒店,31.249914923588715,121.48933332953683,13522913.51906195,3664690.7809024076
54,B0FFHHNEWA,海友酒店(上海外滩中心店),121.483639,31.237541999999998,黄浦区,[],4.2,住宿服务;宾馆酒店;经济型连锁酒店,31.24166780433119,121.49458547260441,13523496.833193708,3663637.071823875
55,B00155KL2J,仕佳商务酒店,121.48291299999998,31.242125,黄浦区,[],3.8,住宿服务;宾馆酒店;经济型连锁酒店,31.24633515308263,121.4938423864358,13523416.01524339,3664233.767607411
56,B0FFJL5M9E,汉庭酒店(南京东路店),121.48005800000001,31.237090999999996,黄浦区,[],4.5,住宿服务;宾馆酒店;经济型连锁酒店,31.24121949221338,121.49102155347393,13523098.198097179,3663578.3542528916
57,B00156NPKB,布丁酒店(上海外滩滨江店),121.482345,31.242918,黄浦区,[],3.5,住宿服务;宾馆酒店;经济型连锁酒店,31.247143172080992,121.493273542806,13523352.78577262,3664337.0172740733
58,B0FFI0BUL5,南京东路豫园美宿酒店式公寓(江西北路分店),121.479424,31.245766999999997,虹口区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.250045770912042,121.49035372923105,13523027.621540014,3664707.968058575
59,B0FFK2H0Z7,初爱高层舒适公寓汉口路店,121.480341,31.23767,黄浦区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.241808495997088,121.49130071491146,13523129.70151307,3663653.736728798
