,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
54,B00157HWIY,东兴证券(广灵二路营业部),121.46754399999999,31.285463,虹口区,[],[],金融保险服务;证券公司;证券营业厅,31.289671581209962,121.47855155689912,13521705.145989388,3669877.7053022254
55,B00155HZPC,中国邮政储蓄银行(广中路营业所),121.4742,31.277883000000003,虹口区,[],4.0,金融保险服务;银行;中国邮政储蓄银行|公司企业;公司;公司,31.28219413965004,121.48515196248766,13522446.088520108,3668890.3695960892
56,B00155HGWU,中国邮政储蓄银行(广灵二路营业所),121.474898,31.284709999999997,虹口区,[],3.5,金融保险服务;银行;中国邮政储蓄银行,31.288911910874383,121.4858762621603,13522523.789524682,3669779.6194579815
57,B00155IF4P,中国工商银行24小时自助银行(广中新村支行),121.47231699999999,31.279335999999997,虹口区,[],[],金融保险服务;自动提款机;中国工商银行ATM,31.283631707035276,121.48328145106686,13522236.473918945,3669079.624500949
58,B00153C417,上海银行24小时自助银行(广灵一路支行),121.47454099999999,31.282562,虹口区,[],[],金融保险服务;自动提款机;上海银行ATM,31.28680122175692,121.4855108498967,13522484.048466468,3669499.8250987786
59,B0FFFA1MQ2,中国民生银行24小时自助银行(上海广灵支行),121.471424,31.285691999999997,虹口区,[],3.0,金融保险服务;自动提款机;中国民生银行ATM,31.289886319938248,121.4824195727407,13522137.065613667,3669907.5350170988
60,B00155EQZB,上海农商银行24小时自助银行(广中支行),121.470904,31.278887,虹口区,[],[],金融保险服务;自动提款机;上海农商银行ATM,31.283193078423935,121.48187167894712,13522079.179478455,3669021.1414282913
61,B00155CC8Y,中国建设银行,121.475443,31.288154,虹口区,[],3.0,金融保险服务;银行;中国建设银行,31.29229280958718,121.4864356980378,13522584.458647165,3670228.241593783
62,B00157I5O5,上海农商银行(凉城支行),121.470758,31.296301,虹口区,[],2.0,金融保险服务;银行;上海农商银行,31.300301693721046,121.48180824987207,13522062.9268328,3671289.550896069
63,B0FFF3AP6H,中国建设银行(上海汶水路支行),121.466127,31.291566999999997,虹口区,[],2.0,金融保险服务;银行;中国建设银行,31.295667440789558,121.47716895972997,13521547.406270936,3670672.8417771226
64,B00155CBZ2,中国工商银行(上海市凉城支行),121.466075,31.29123,虹口区,[],3.0,金融保险服务;银行;中国工商银行,31.29533686588901,121.47711543489277,13521541.617657416,3670628.941189301
65,B001526770,上海浦东发展银行(凉城路支行),121.46598,31.290754999999997,虹口区,[],4.5,金融保险服务;银行;上海浦东发展银行,31.29487096871395,121.47701835401232,13521531.04230579,3670567.063772672
66,B00156CWPS,中国工商银行(水电路支行),121.47253400000001,31.289740999999996,虹口区,[],4.0,金融保险服务;银行;中国工商银行,31.293858648248012,121.4835453515992,13522260.630248448,3670434.972814892
67,B00155IFB0,中国银行(凉城支行),121.465654,31.288883000000002,虹口区,[],3.0,金融保险服务;银行;中国银行,31.29303453298732,121.47668404622831,13521494.752151791,3670323.2046526386
68,B00156O5F8,华安保险(车站南路),121.47449399999999,31.296622999999997,虹口区,[],[],金融保险服务;保险公司;保险公司,31.300607587464977,121.48553231106851,13522478.816450402,3671331.4997052155
69,B00151AEFD,中国农业银行(上海水电支行),121.465822,31.289696000000003,虹口区,[],3.0,金融保险服务;银行;中国农业银行,31.293832070333952,121.47685556202406,13521513.453826245,3670429.110823068
